	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
0	irkumar	-	-1	-	-1	-1	-1	-1	Databases	seller	https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126	programming-tech;graphics-design;	English;	4.9	206	13	India	Level 2 Seller	1 Hrs.	True	False	False	False	False	2012-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126	database-programming-services;presentations-and-infographics;data-analysis-services;	I'm Level -2 seller , Delivered 265+ orders as of now . As a database developer, I have hands on experience in  •Designing databases •Writing SQL Queries •Develop database objects (Stored Procedures, T-SQL Functions, Joins) as per business need. •Database performance tuning • ER Diagram & UML	{692562: 156}	{}	{}
1	artapparent	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	Canada			True	False	False	False	False	2015-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
2	charlesvaughan	Male	58.1108	Asian	94.4918	32	5	81.0046	Databases	buyer	https://cdnil1.fiverrcdn.com/photos/3839172/original/1431656009108_Profile.jpg?1431656009		English;	0	0	0	United States		1 Week +	True	False	False	True	False	2014-10-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
3	lankeymonkey	-	-1	-	-1	-1	-1	-1	Databases	buyer	https://cdnil1.fiverrcdn.com/photos/1585959/original/monkey.jpg?1363263290		English;	0	0	0	Spain			True	False	False	False	False	2013-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126		"Marketing guy.  Likes Bananas and swinging from trees.  Monkeys are generally considered to be intelligent. Unlike apes, monkeys usually have tails. Tailless monkeys may be called ""apes"""	{}	{}	{}
4	kamelia1004	-	-1	-	-1	-1	-1	-1	Databases	buyer	https://cdnil1.fiverrcdn.com/photos/2404402/original/pugFace.jpg?1392338189		English;	0	0	0	United Kingdom			True	False	False	False	False	2013-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
5	abz12345678910	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	United Kingdom			True	False	False	False	False	2014-10-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
6	dsijta	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	United States			True	False	False	False	False	2012-09-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
7	adriencherrier	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	Canada			True	False	True	False	False	2014-09-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
8	cadeoye	-	-1	-	-1	-1	-1	-1	Databases	buyer	https://cdnil0.fiverrcdn.com/photos/1825785/original/AMGProfessionalsv4.jpg?1408870625		English;	0	0	0	United Kingdom		N/A	True	False	False	False	False	2013-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126		I am interested in working with experienced individual and company that are very professional and customer oriented. Particularly, I always require people with good Graphics & Design and Programming Skills- Web Design and Application Development.	{}	{}	{}
9	chungy9015	-	-1	-	-1	-1	-1	-1	Databases	buyer	https://cdnil1.fiverrcdn.com/photos/199576/original/Koala.jpg?1406919033		English;	0	0	0	Canada		N/A	True	False	False	True	False	2011-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
10	milanvora	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	Switzerland			True	False	True	False	False	2014-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
11	kindusuk	-	-1	-	-1	-1	-1	-1	Databases	buyer	https://cdnil0.fiverrcdn.com/photos/2369300/original/FOR-LIGHT-BACKGROUND-S.jpg?1393440295		English;	0	0	0	United Kingdom			True	False	False	False	False	2013-11-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/632163/original/SQL1.jpeg.jpg?1365524126			{}	{}	{}
