	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
0	specialk420	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	seller		music-audio;	English;	0	0	1	United States			True	False	False	False	False	2013-02-01 00:00:00		-	singers-songwriters;		{}	{1468955: 1006}	{}
1	erka_b	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	seller		lifestyle;music-audio;	English;	0.0	1	4	United States			True	False	False	False	False	2013-01-01 00:00:00		-	relationship-advice-for-men-woman;health-fitness-tips;lifestyle-services;singers-songwriters;	I like making my money five dollars at a time!	{}	{1424711: 1015}	{}
2	rtew101	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	seller	https://cdnil1.fiverrcdn.com/photos/2770407/original/1654119_10153882508585074_302128651_n.jpg?1406047369	writing-translation;	English;French;	4.8	47	2	Canada	Level 2 Seller	7 Hrs.	True	False	False	True	False	2014-02-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/2770407/original/1654119_10153882508585074_302128651_n.jpg?1406047369	proofreading-editing;creative-writing;	Upcoming artist from Vancouver, Canada.  Been rapping under the aliases Endicott and MizerE for a few years now, you can check my previous works at:  www.soundcloud.com/official-endicott	{}	{}	{}
3	brayan23	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	seller		music-audio;	English;	0	0	1	United States			True	False	False	False	False	2014-02-01 00:00:00		-	singers-songwriters;		{}	{2742053: 1387}	{}
4	maryme13	Female	99.9993	White	83.4784	18	5	68.5072	Singers & Songwriters	seller	https://cdnil0.fiverrcdn.com/photos/190586/original/ALHAMBRA.jpg?1298163592	music-audio;	English;	3.4	6	8	United States		N/A	True	False	False	True	False	2011-02-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/190586/original/ALHAMBRA.jpg?1298163592	singers-songwriters;	ANDY studied in Milan, Italy and in New York with MET super-star Franco Corelli.   ANDY has concertized across the U.S singing Mephistopheles in Gounod's Faust in a Columbia Artists tour.   For 2015, ANDY's Music Videos & Concerts reach out to younger audiences ~ check out: thesingerguy.com	{}	{12734069: 81}	{}
5	lilkido	Female	99.9999	White	99.8309	30	5	99.2975	Singers & Songwriters	seller	https://cdnil1.fiverrcdn.com/photos/251947/original/Fiverr_Headshot.jpg?1423157400	writing-translation;music-audio;fun-bizarre;	English;	5.0	160	7	United States	Level 2 Seller	4 Hrs.	True	False	False	False	False	2011-05-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/251947/original/Fiverr_Headshot.jpg?1423157400	proofreading-editing;singers-songwriters;just-for-fun;celebrity-impersonators;	Just your average 20-something trying to carve out a cozy niche in the world.	{2336423: 276}	{2336423: 951}	{}
6	lorithompson	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	seller	https://cdnil0.fiverrcdn.com/photos/1605478/original/imagesCAPQZ7O4.jpg?1363887255	writing-translation;	English;	5.0	71	8	United States	Level 2 Seller	4 Hrs.	True	False	False	False	False	2013-03-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1605478/original/imagesCAPQZ7O4.jpg?1363887255	articles-blogposts;	While trained in Quality Assurance and Business Analysis.  I love copywriting and online marketing. I write persuasive copy and know how important getting business is.    I  win business and convert sales through writing.I work from home  with my granddaughter who also markets online; she's 7.	{}	{13553779: 557}	{}
7	hartiganmusic	Male	99.8369	Asian	96.2787	28	5	55.5267	Singers & Songwriters	seller	https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029	music-audio;	English;	5.0	32	2	United States	Level 1 Seller	5 Hrs.	True	False	False	False	False	2014-12-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029	singers-songwriters;session-musicians;	I'm Mike, a pianist and composer/arranger living in Chicago.  I sing and play keyboards in several bands and as a session player.  I also compose and arrange music for groups ranging from 1 or 2 instruments to big bands and orchestras.  I enjoy working on all kinds of fun and challenging projects.	{4174826: 172}	{4174826: 757}	{}
8	riseofdouai	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer			English;	0	0	0	United Kingdom			True	False	False	False	False	2015-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029		I'm a buyer not a seller. A reader but not a writer.	{}	{}	{}
9	historynut	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer			English;	0	0	0	United States		N/A	True	False	False	False	False	2013-03-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
10	brianhayw	Male	50.7892	White	88.8816	31	8	86.7717	Singers & Songwriters	buyer	https://cdnil1.fiverrcdn.com/photos/5914675/original/4.jpg?1437545997	video-animation;advertising;online-marketing;business;	English;	5.0	11	7	United States	Level 1 Seller	11 Hrs.	True	False	False	False	False	2015-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029	buy-video-testimonials;advertising-services;social-marketing;online-video-marketing;custom-video-intros;virtual-assistant-services;	I am an Internet Specialist that Loves Jesus and I stay Busy in a Good Way. What I offer, I deliver.	{}	{}	{}
11	dreadgnat	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
12	paperhawk	Male	99.9999	White	96.3912	56	10	88.2523	Singers & Songwriters	buyer	https://cdnil0.fiverrcdn.com/photos/1604170/original/Jon-CD-coverWeb300w.jpg?1392758382		English;	0	0	0	United States		1 Hrs.	True	False	False	False	False	2013-03-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029		Executive Director, Stewardship for Life, a 501 c 3 For Impact public charity.     Financial Literacy and Workforce Development.     Special project: GenPov  alleviating generational poverty.	{}	{}	{}
13	josemelena	Female	95.7687	Asian	77.0749	33	7	2.33766	Singers & Songwriters	buyer	https://cdnil0.fiverrcdn.com/photos/3539414/original/1429308032617_Profile.jpg?1429308032		English;	0	0	0	United States			True	False	False	False	False	2014-08-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
14	javemport	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer			English;	0	0	0	United States			True	False	False	True	False	2012-12-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
15	smurf03	Female	90.4352	White	61.7264	30	5	4.22848	Singers & Songwriters	buyer	https://cdnil0.fiverrcdn.com/photos/1633573/original/Screen_Shot_2015-02-17_at_8.33.31_PM.jpg?1424235173	video-animation;advertising;graphics-design;music-audio;writing-translation;other;business;	English;	5.0	121	7	United States	Level 2 Seller	3 Hrs.	True	False	True	True	False	2013-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029	video-post-production-editing;handing-out-flyers;creative-logo-design;mixing-mastering;writing-services;;business-tips;	I'm a creative at heart who loves shooting and editing video, creative writing and reciting music, producing and mixing it, composing art and creative thought. I have a major in film and a minor in music. I'm also a computer nerd who loves web design n SEO! Allow me to create and compose for you!	{}	{}	{}
16	comedyhypnotist	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer	https://cdnil0.fiverrcdn.com/photos/1173151/original/bigspecs_1_.jpg?1348038403	music-audio;lifestyle;graphics-design;fun-bizarre;business;gifts;video-animation;online-marketing;	English;	5.0	14	13	United Kingdom	Level 1 Seller	9 Hrs.	True	False	True	False	False	2012-09-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029	voice-overs;health-fitness-tips;creative-logo-design;just-for-fun;business-tips;unique-unusual-gifts;video-web-commercials;online-video-marketing;	Hi guys I'm a professional entertainer living & working in Scotland. I also do voiceover work for commercials & personal greetings.  I have many more skills. I can teach Stage Hypnosis,Hypnotherapy, Magic, Mentalism & Balloon Modelling . If your interested in any new gigs let me know.	{}	{}	{}
17	austin_yoder	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer	https://cdnil1.fiverrcdn.com/photos/4645105/original/1981808_2665676326465_2715350429430412480_n.jpg?1427021808		English;	0	0	0	Taiwan			True	False	True	False	False	2015-02-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
18	mitchgavey	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer	https://cdnil1.fiverrcdn.com/photos/4309561/original/1420316195807_facebook20150103-15173-1mj4nc9.jpg?1420316196		English;	0	0	0	United States		1 Hrs.	True	False	True	False	False	2015-01-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
19	khomel	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	buyer			English;	0	0	0	United States			True	False	False	False	False	2014-12-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/4228603/original/Face_Logo.jpg?1426792029			{}	{}	{}
20	mattjgreco49	-	-1	-	-1	-1	-1	-1	Singers & Songwriters	seller	https://cdnil1.fiverrcdn.com/photos/1321879/original/tumblr_me40h2fOXt1rsofxyo1_500.jpg?1354123144	music-audio;	English;	4.8	40	8	United Kingdom	Level 1 Seller	N/A	True	False	False	False	False	2012-11-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1321879/original/tumblr_me40h2fOXt1rsofxyo1_500.jpg?1354123144	singers-songwriters;	I have studied Music Production at the Academy of Contemporary Music in Guildford, Music Performance (National Diploma) in Bristol and a Degree in Creative Sound and Music at University of Wales. I have been producing music for 10 years.	{11124497: 16}	{11124497: 138}	{}
