	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
0	nickbathla11	Male	99.8255	White	98.5221	36	8	43.5352	Web Analytics	seller	https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186	online-marketing;	English;	4.9	14	5	India	Level 1 Seller	7 Hrs.	True	False	False	False	False	2012-05-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186	seo-services;web-analytics-services;online-video-marketing;		{11890143: None}	{11890143: 83}	{}
1	alexsay4299	Male	98.0676	White	99.7904	2	5	6.52779	Web Analytics	buyer	https://cdnil0.fiverrcdn.com/photos/801957/original/1291977_10151840811359138_1223470482_o.jpg?1436541909			0	0	0	Israel			True	False	False	False	False	2012-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
2	jondod	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer	https://cdnil1.fiverrcdn.com/photos/1886035/original/JonDod-Profile-Pic.jpg?1380234034		English;	0	0	0	United States			True	False	False	True	False	2013-07-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
3	gigbuster	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer	https://cdnil0.fiverrcdn.com/photos/322289/original/youtube_search.jpg?1331411388	online-marketing;	English;	4.8	60	1	India	Level 2 Seller		True	False	False	False	False	2011-08-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186	social-marketing;	I am back with my gigs. after surviving a major earthquake for which i had to suffer 2 negative sales . but delivered it later.  I work on fiverr to make some money for my living.	{}	{}	{}
4	macsharan	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer			English;	0	0	0	India			True	False	False	False	False	2015-02-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
5	kingdoz	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer	https://cdnil1.fiverrcdn.com/photos/802673/original/image.jpg?1440253281		English;	0	0	0	United Kingdom		1 Hrs.	True	False	False	True	False	2012-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
6	dgnitcanada	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer				0	0	0	Canada		23 Hrs.	True	False	False	False	False	2014-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
7	drockbeast	Male	99.9971	White	93.6265	38	12	88.2946	Web Analytics	buyer	https://cdnil1.fiverrcdn.com/photos/2372848/original/image.jpg?1385683613		English;	0	0	0	United States			True	False	False	False	False	2013-11-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186		I am an entrepreneur with a lot of experience.  Currently I am a fitness and health consultant, paramedic, firefighter, beekeeper, rancher, father, husband.  I taught high school Biology, P.E. And Health and play guitar.	{}	{}	{}
8	onthedot	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer		online-marketing;graphics-design;	English;	5.0	1	3	United States		N/A	True	False	False	False	False	2013-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186	writing-reviews;creative-brochure-design;		{}	{}	{}
9	rick2030	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer			English;	0	0	0	United States		N/A	True	False	False	False	False	2011-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
10	broc381	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-07-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
11	flashger	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer			English;	0	0	0	Denmark			True	False	False	False	False	2011-11-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
12	istiaklui	-	-1	-	-1	-1	-1	-1	Web Analytics	buyer			English;	0	0	0	Australia		6 Hrs.	True	False	False	False	False	2012-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/694284/original/image.jpg?1381890186			{}	{}	{}
