	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
0	sidjaman	Female	66.464	White	99.2288	31	9	82.7984	Financial Consulting	seller	https://cdnil0.fiverrcdn.com/photos/9225285/original/1433980988559_Profile.jpg?1433980988	business;	English;Spanish;Portuguese;	5.0	2	1	United States			True	False	False	False	False	2015-06-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/9225285/original/1433980988559_Profile.jpg?1433980988	financial-consulting-services;	Providing sound financial tips that have been proven to work. Take advantage of these great tips to help you save thousands of dollars in the long run.	{9567887: 182}	{}	{}
1	unc28532	Female	99.9118	White	74.5168	18	5	4.40323	Financial Consulting	buyer	https://cdnil1.fiverrcdn.com/photos/5859967/original/tumblr_nore39AerL1u2gw7go1_500.jpg?1434422954		English;	0	0	0	United States		1 Hrs.	True	False	False	False	False	2015-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/9225285/original/1433980988559_Profile.jpg?1433980988			{}	{}	{}
2	benstonefin	Male	99.9999	Black	81.0827	34	7	66.6061	Financial Consulting	seller	https://cdnil1.fiverrcdn.com/photos/55878/original/charles-smiling.jpg?1366060285	business;	English;	4.4	15	8	United Kingdom	Level 1 Seller	N/A	True	False	False	True	False	2010-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/55878/original/charles-smiling.jpg?1366060285	business-services;	I have been building websites for businesses and organisations for 4 years.   New web sites build practical CMS based websites for small business ed and organisations without the expense of web design companies or the lack of flexibility of the free websites providers. Get your new web site here.	{3515603: None}	{7533977: 578}	{}
3	kumo6250	-	-1	-	-1	-1	-1	-1	Financial Consulting	seller	https://cdnil1.fiverrcdn.com/photos/3216131/original/Profile_Photo.jpg?1426517140	business;	English;	5.0	2	1	Canada		N/A	True	False	True	False	False	2014-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/3216131/original/Profile_Photo.jpg?1426517140	financial-consulting-services;	I am an accountant with over 25 years experience.  Forbes estimates that 80% of businesses fail in the first 5 years.  My mission is to bring that average down, since most failures are accounting related.	{5301793: 235}	{5301793: 628}	{}
4	jkd707	Female	99.0613	Asian	47.0381	23	5	49.2589	Financial Consulting	buyer	https://cdnil0.fiverrcdn.com/photos/2887168/original/1069289.jpg?1432216768	graphics-design;	English;	4.4	15	1	United States	Level 1 Seller	N/A	True	False	True	True	False	2014-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/3216131/original/Profile_Photo.jpg?1426517140	banner-ads;	Hi I'm Jayne :) I have been helping businesses by creating beautiful marketing materials for them since 2007 (right after I got out the military). I enjoy meeting new people and learning new things, so designing for fellow business owners and learning about their business is a true passion of mine.	{}	{}	{}
5	michielrietdijk	-	-1	-	-1	-1	-1	-1	Financial Consulting	seller		business;	English;	5.0	2	8	United Kingdom			True	False	False	True	False	2012-09-01 00:00:00		-	financial-consulting-services;		{}	{}	{}
6	cprtt8	Male	99.9938	White	99.3253	33	10	95.9332	Financial Consulting	seller	https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983	business;	English;	5.0	6	1	United States		5 Hrs.	True	False	True	False	False	2014-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983	financial-consulting-services;		{4259915: 75}	{4259915: 406}	{4259915: None}
7	hmmhemi	Female	99.7519	White	91.3063	32	5	76.9846	Financial Consulting	buyer	https://cdnil0.fiverrcdn.com/photos/3306543/original/moments.jpg?1439157528		English;	0	0	0	United States		N/A	True	False	False	False	False	2014-07-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983			{}	{}	{}
8	thedcp	Male	99.9998	White	99.9311	30	5	2.85426	Financial Consulting	buyer	https://cdnil0.fiverrcdn.com/photos/1913880/original/portrait_with__hair.jpg?1428006361		English;Spanish;	0	0	0	United States		13 Hrs.	True	False	False	False	False	2013-07-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983		Hi Fiverrs,  I have lots of dreams and aspirations and Fiverr seems like a place to help the world and be helped by the world.    looking forward to future fun with Fiverr!	{}	{}	{}
9	ruthanti	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-05-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983			{}	{}	{}
10	kidgogeta	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer				0	0	0	United States		6 Hrs.	True	False	False	False	False	2012-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983			{}	{}	{}
11	thezacroether	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States		N/A	True	False	False	False	False	2013-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/4285685/original/1436550983291_Profile.jpg?1436550983			{}	{}	{}
12	ca_vivekkabra	-	-1	-	-1	-1	-1	-1	Financial Consulting	seller	https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175	business;	English;	4.7	173	8	United States	Level 2 Seller	N/A	True	False	False	False	False	2010-09-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175	business-services;	Hello all of my fiverr friends!  Please take a second to look at my wonderful gigs I have for you.  I pride myself on prompt delivery, outstanding communication, and overdelivery.  I specialize in:  ebay, rare coins, gold & silver, SEO, link building, and traffic generation.  Order a gig!	{3953920: None}	{3953920: None}	{}
13	jo24scotland	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United Kingdom		N/A	True	False	False	True	False	2012-02-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175		Hi I'm Jo - I work in sales and marketing across many industries in Scotland and build and grow companies. I enjoy using Fiverr as both a customer and a provider. I'm trying to use my existing skiils to help others and fund my own fiverr obsession so don't be shy to drop me a line !!	{}	{}	{}
14	alexyoung929	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer	https://cdnil1.fiverrcdn.com/photos/4063392/original/New_Year01_(1).jpg?1421125872		English;	0	0	0	United States		N/A	True	False	False	True	False	2014-11-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175		On-line looking for various things.When applying for Federal jobs, eligible veterans should claim preference on the Occupational Questionnaire in the section provided and provide a legible copy of DD-214(s) showing all dates of service as well as character of service (honorable, general, etc.). Addi	{}	{}	{}
15	lombardi8930	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;French;	0	0	0	Canada		N/A	True	False	False	False	False	2014-06-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
16	ndmorris23	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United Kingdom		N/A	True	False	False	False	False	2014-07-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
17	wesman015	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	False	False	2014-02-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
18	lindseydoula	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-03-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
19	debbiesagorin	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States		1 Hrs.	True	False	False	False	False	2014-11-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
20	justaskiassist	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	True	False	2013-11-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
21	jasongse	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-02-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
22	teneggs	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United Kingdom		N/A	True	False	False	False	False	2013-07-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
23	ninthprince	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	Canada			True	False	False	False	False	2013-11-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
24	bathybic	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	False	False	2014-10-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
25	scottnewton	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	True	False	2013-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
26	themodbiz	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer	https://cdnil1.fiverrcdn.com/photos/1772442/original/vivalawatermelon-frida.jpg?1373828412		English;	0	0	0	Costa Rica			True	False	False	True	False	2013-05-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175		HI, I'm a web producer. I'm always looking for talented individuals to produce graphics, videos,  techies for wordpress tweaks, and traffic generation services	{}	{}	{}
27	msreavis	-	-1	-	-1	-1	-1	-1	Financial Consulting	buyer			English;	0	0	0	United States			True	False	False	False	False	2014-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/85067/original/head-shot.jpg?1376788175			{}	{}	{}
